LAT,LONG,ALT
33.710088,72.854009,645.502
33.706465,72.856571,709.162
33.704196,72.856937,632.68
33.701867,72.858267,579.126
33.698965,72.860231,561.353
33.695446,72.862327,548.826
33.693099,72.864438,542.406
33.691926,72.865849,547.496
33.687228,72.867236,529.584
33.683703,72.869359,527.26
33.679008,72.873569,517.106
33.675485,72.875667,518.805
33.673718,72.875677,521.546
33.669595,72.876443,527.796
33.667241,72.878608,544.02
33.665475,72.879343,544.612
33.662533,72.880803,551.88
33.659005,72.882243,551.864
33.656066,72.883676,544.492
33.651951,72.885112,558.381
33.649601,72.886542,560.187
33.647251,72.888682,561.789
33.643139,72.890841,576.995
33.639027,72.892955,589.261
33.634329,72.896504,583.466
33.630218,72.899342,583.062
33.627869,72.901466,586.331
33.62552,72.903577,580.67
33.621995,72.906392,570.187
33.618469,72.909902,566.345
33.616117,72.912703,558.514
33.613175,72.914799,547.432
33.610821,72.916195,537.711
33.607881,72.917607,542.59
33.604944,72.921139,540.138
33.600241,72.92467,526.146
33.596126,72.928906,527.328
33.592005,72.932417,514.767
33.590239,72.933116,507.863
33.588473,72.935932,519.307
33.586118,72.938746,517.361
33.58318,72.940168,504.269
33.579648,72.944397,508.824
33.577896,72.947957,516.809
33.57497,72.950819,527.915
33.572623,72.952951,530.301
33.569094,72.955774,523.96
33.564382,72.959288,525.142
33.560269,72.961416,526.281
33.557331,72.962835,532.353
33.554982,72.964253,535.233
33.550284,72.966386,535.706
33.547343,72.968504,541.868
33.544988,72.969207,536.071
33.541458,72.971323,527.383
33.53969,72.97132,525.62
33.537333,72.971316,523.618
33.533206,72.972717,515.314
33.532028,72.97342,511.064
33.530265,72.97554,515.706
33.526727,72.980469,506.31
33.521417,72.986098,501.879
33.516109,72.991733,491.261
33.506591,73.005759,488.487
33.503118,73.013577,444.017
33.500158,73.015683,431.42
33.496009,73.019194,414.826
33.491846,73.023404,441.226
33.48652,73.029746,429.516
33.482373,73.032559,433.375
33.480594,73.033259,424.74
33.477036,73.03678,412.045
33.476459,73.039613,405.49
33.476462,73.043853,404.253
33.476464,73.047387,400.827
33.477641,73.055158,402.073
33.479422,73.065055,412.187
33.48244,73.07497,459.046
33.482523,73.102526,493.951
33.482598,73.127934,523.89
33.482572,73.131461,515.275
33.482605,73.139219,510.508
33.484319,73.144163,491.646
33.486149,73.150505,529.402
33.489644,73.159683,493.687
33.493799,73.170259,534.118
33.498524,73.182945,560.191
33.50029,73.187175,557.719
33.502055,73.190701,562
33.504987,73.198461,567.705
33.507887,73.209058,551.673
33.510218,73.216123,529.256
33.514851,73.222526,515.828
33.519562,73.230287,511.769
33.523652,73.238778,485.388
33.527762,73.248661,512.869
33.530127,73.256401,521.825
33.53483,73.269092,563.371
33.538303,73.283959,543.356
33.544188,73.307177,561.572
33.548862,73.319896,511.625
33.552375,73.326962,552.345
33.556442,73.338319,524.404
33.55644,73.339728,522.426
33.558769,73.343303,526.824
33.561108,73.347556,558.67
33.562875,73.351062,523.215
33.563464,73.352465,538.096
33.56523,73.355269,561.465
33.566997,73.35737,569.484
33.568173,73.360876,577.669
33.569939,73.363676,576.366
33.572293,73.367175,582.804
33.574057,73.369975,595.578
33.575817,73.373487,597.089
33.577575,73.377,599.236
33.579327,73.380542,597.121
33.581084,73.382665,594.205
33.582841,73.384788,599.02
33.58518,73.388332,600.002
33.586942,73.390435,597.745
33.589293,73.392528,601.921
33.589878,73.393931,605.632
33.592813,73.398128,623.129
33.594575,73.400224,643.302
33.596927,73.402991,682.16
33.597515,73.40437,673.957
33.598694,73.405729,669.139
33.600453,73.408519,662.001
33.602213,73.411985,675.18
33.605698,73.415718,606.997
33.609189,73.418758,589.778
33.610952,73.418762,590.618
33.6133,73.420165,612.819
33.617414,73.420168,631.955
33.619767,73.420143,645.99
33.620944,73.420125,647.126
33.62389,73.419338,697.319
